question_id,question,question_type,expected_filename,expected_document_id,expected_result,top_k,original_candidates_count,original_top1_document_id,original_top1_filename,original_top1_chunk_index,original_top1_distance,rerank_top1_document_id,rerank_top1_filename,rerank_top1_chunk_index,rerank_top1_distance,rerank_top1_score,top1_hit,top3_hit,result_count,correct_reject,false_positive,baseline_top1_hit,status,chroma_time_seconds,rerank_time_seconds,total_time_seconds,rerank_model,embedding_model,distance_threshold,evaluated_at
12,家里突然有急事，明天不能来上班，但来不及提前一天请事假，这种情况怎么办？,口语长问法,员工休假管理制度.docx,11,,3,3,14,员工考勤管理制度.docx,2,0.7499402165412903,11,员工休假管理制度.docx,0,0.7812633514404297,0.8306780457496643,1,1,2,,,0,improved,0.010844,0.140782,0.151626,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
13,我刚出差回来，手里有发票和订单记录，报销的时候还需要注意什么时间要求？,口语长问法,差旅及费用报销制度.docx,7,,3,3,7,差旅及费用报销制度.docx,1,0.6623445749282837,7,差旅及费用报销制度.docx,1,0.6623445749282837,0.8758295774459839,1,1,2,,,1,same_correct,0.011645,0.126669,0.138314,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
14,客户说设备坏了，我们已经让他做过基础检查但还是不行，客服接下来应该记录什么并交给谁？,口语长问法,产品售后服务规范.docx,12,,3,3,12,产品售后服务规范.docx,1,0.5786237716674805,12,产品售后服务规范.docx,1,0.5786237716674805,0.9911324381828308,1,1,2,,,1,same_correct,0.011660,0.135584,0.147243,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
15,我要把一份包含客户信息的文件发给外部人员，发送前应该注意哪些安全要求？,口语长问法,信息安全管理规范.docx,13,,3,3,13,信息安全管理规范.docx,1,0.6686511039733887,13,信息安全管理规范.docx,1,0.6686511039733887,0.9839513301849365,1,1,2,,,1,same_correct,0.010030,0.129356,0.139385,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
16,事假原则上需要提前几个工作日申请？,直接问法,员工休假管理制度.docx,11,,3,3,11,员工休假管理制度.docx,0,0.5369892120361328,11,员工休假管理制度.docx,0,0.5369892120361328,0.9750074148178101,1,1,3,,,1,same_correct,0.009790,0.132081,0.141871,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
17,连续缺勤超过4小时且没有请假会怎么处理？,直接问法,员工考勤管理制度.docx,14,,3,3,14,员工考勤管理制度.docx,2,0.3792099356651306,14,员工考勤管理制度.docx,2,0.3792099356651306,0.9986655712127686,1,1,3,,,1,same_correct,0.010481,0.122883,0.133364,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
18,其他城市出差住宿每晚原则上最多报销多少元？,直接问法,差旅及费用报销制度.docx,7,,3,3,7,差旅及费用报销制度.docx,1,0.3925290107727051,7,差旅及费用报销制度.docx,1,0.3925290107727051,0.9976699948310852,1,1,2,,,1,same_correct,0.010036,0.119641,0.129677,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
19,一般售后问题要求在多长时间内首次响应？,直接问法,产品售后服务规范.docx,12,,3,3,12,产品售后服务规范.docx,0,0.5347299575805664,12,产品售后服务规范.docx,0,0.5347299575805664,0.9556829333305359,1,1,2,,,1,same_correct,0.009518,0.120371,0.129890,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
20,公司登录密码需要包含哪些类型的字符？,直接问法,信息安全管理规范.docx,13,,3,3,13,信息安全管理规范.docx,0,0.6735951900482178,13,信息安全管理规范.docx,0,0.6735951900482178,0.4466985762119293,1,1,1,,,1,same_correct,0.010219,0.119134,0.129353,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
21,如果一次休假超过5个工作日，除了直属负责人还需要谁确认？,改写问法,员工休假管理制度.docx,11,,3,3,11,员工休假管理制度.docx,1,0.6635714769363403,11,员工休假管理制度.docx,1,0.6635714769363403,0.9852187037467957,1,1,3,,,1,same_correct,0.010167,0.135483,0.145649,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
22,月度考勤结果有问题，员工应该在几天内提出复核？,改写问法,员工考勤管理制度.docx,14,,3,3,14,员工考勤管理制度.docx,2,0.39862561225891113,14,员工考勤管理制度.docx,2,0.39862561225891113,0.9985480904579163,1,1,3,,,1,same_correct,0.011027,0.114338,0.125365,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
23,因为工作需要想坐更高等级的交通工具，应该提前经过谁同意？,改写问法,差旅及费用报销制度.docx,7,,3,3,14,员工考勤管理制度.docx,1,1.0129785537719727,,,,,,0,0,0,,,0,same_wrong,0.009730,0.122165,0.131895,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
24,客户申请退换货时，客服需要检查商品哪些方面？,改写问法,产品售后服务规范.docx,12,,3,3,12,产品售后服务规范.docx,0,0.6152297258377075,12,产品售后服务规范.docx,0,0.6152297258377075,0.87157142162323,1,1,2,,,1,same_correct,0.011240,0.127016,0.138256,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
25,离开工位时，公司电脑应该怎么处理？,改写问法,信息安全管理规范.docx,13,,3,3,13,信息安全管理规范.docx,2,0.6584979891777039,13,信息安全管理规范.docx,0,0.7927199006080627,0.9141541719436646,1,1,2,,,1,same_correct,0.009973,0.123081,0.133054,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
26,我想一次休四天年假，除了提前申请之外，工作交接方面还要做什么？,口语长问法,员工休假管理制度.docx,11,,3,3,11,员工休假管理制度.docx,0,0.6719337701797485,11,员工休假管理制度.docx,0,0.6719337701797485,0.7426171898841858,1,1,3,,,1,same_correct,0.010441,0.135450,0.145891,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
27,我这个月忘记打卡好几次了，补卡有没有次数限制？,口语长问法,员工考勤管理制度.docx,14,,3,3,14,员工考勤管理制度.docx,1,0.6331474184989929,14,员工考勤管理制度.docx,1,0.6331474184989929,0.994146466255188,1,1,1,,,1,same_correct,0.009615,0.109213,0.118828,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
28,我去外地出差还没走审批流程，回来以后这些费用公司还能正常给我报吗？,口语长问法,差旅及费用报销制度.docx,7,,3,3,7,差旅及费用报销制度.docx,0,0.6433004140853882,7,差旅及费用报销制度.docx,1,0.6568377614021301,0.6943984031677246,1,1,2,,,1,same_correct,0.010531,0.125510,0.136041,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
29,客户刚来问售后，我是不是直接处理问题就行，还是要先确认一些客户和产品信息？,口语长问法,产品售后服务规范.docx,12,,3,3,12,产品售后服务规范.docx,0,0.5432549118995667,12,产品售后服务规范.docx,1,0.5463094711303711,0.821902871131897,1,1,2,,,1,same_correct,0.011742,0.128607,0.140349,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
30,我手上有一份客户资料，想图方便传到自己的个人网盘里，可以这样做吗？,口语长问法,信息安全管理规范.docx,13,,3,3,13,信息安全管理规范.docx,1,0.7763346433639526,13,信息安全管理规范.docx,1,0.7763346433639526,0.8565481901168823,1,1,1,,,1,same_correct,0.011515,0.129366,0.140881,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
31,员工没办请假手续就没来上班，这种情况应该按照休假制度还是考勤制度处理？,易混淆问法,员工休假管理制度.docx,11,,3,3,14,员工考勤管理制度.docx,2,0.47922706604003906,14,员工考勤管理制度.docx,2,0.47922706604003906,0.995354413986206,0,1,3,,,0,same_wrong,0.011125,0.142094,0.153218,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
32,已经批准的休假和公司的考勤记录之间需要怎么处理？,易混淆问法,员工休假管理制度.docx,11,,3,3,14,员工考勤管理制度.docx,2,0.5554816722869873,11,员工休假管理制度.docx,1,0.5966154932975769,0.8761609792709351,1,1,3,,,0,improved,0.009891,0.133888,0.143779,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
33,公共交通大面积延误导致迟到，当天应该做什么？,易混淆问法,员工考勤管理制度.docx,14,,3,3,14,员工考勤管理制度.docx,1,0.7294214963912964,14,员工考勤管理制度.docx,1,0.7294214963912964,0.9663113951683044,1,1,1,,,1,same_correct,0.010247,0.122771,0.133019,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
34,连续一整天没来公司，而且没有办理请假手续，会如何认定？,易混淆问法,员工考勤管理制度.docx,14,,3,3,14,员工考勤管理制度.docx,2,0.6427825093269348,14,员工考勤管理制度.docx,2,0.6427825093269348,0.9916856288909912,1,1,1,,,1,same_correct,0.011300,0.134487,0.145787,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
35,一线城市酒店住了600元一晚，但事先没有审批，超出的部分由谁承担？,易混淆问法,差旅及费用报销制度.docx,7,,3,3,7,差旅及费用报销制度.docx,1,0.5905052423477173,7,差旅及费用报销制度.docx,1,0.5905052423477173,0.99765944480896,1,1,1,,,1,same_correct,0.010802,0.122384,0.133187,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
36,报销申请中，业务真实性和票据金额分别由谁审核？,易混淆问法,差旅及费用报销制度.docx,7,,3,3,7,差旅及费用报销制度.docx,1,0.9294114112854004,,,,,,0,0,0,,,0,same_wrong,0.010300,0.123521,0.133821,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
37,客户的问题什么时候不能继续按普通售后流程处理，而要升级给负责人？,易混淆问法,产品售后服务规范.docx,12,,3,3,12,产品售后服务规范.docx,1,0.5959175825119019,12,产品售后服务规范.docx,1,0.5959175825119019,0.9876032471656799,1,1,2,,,1,same_correct,0.011173,0.120928,0.132102,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
38,售后问题处理完成以后，为什么还需要留下处理记录，具体要记录哪些内容？,易混淆问法,产品售后服务规范.docx,12,,3,3,12,产品售后服务规范.docx,1,0.6200547814369202,12,产品售后服务规范.docx,1,0.6200547814369202,0.9478397965431213,1,1,2,,,1,same_correct,0.010294,0.124125,0.134419,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
39,公司电脑能不能插一个来路不明的U盘？如果确实需要使用应该先做什么？,易混淆问法,信息安全管理规范.docx,13,,3,3,13,信息安全管理规范.docx,1,0.7895042896270752,13,信息安全管理规范.docx,1,0.7895042896270752,0.9857950210571289,1,1,1,,,1,same_correct,0.010400,0.122543,0.132943,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
40,员工离职时能不能自己留一份以前工作中使用过的公司敏感资料？,易混淆问法,信息安全管理规范.docx,13,,3,3,13,信息安全管理规范.docx,2,0.4609420895576477,13,信息安全管理规范.docx,2,0.4609420895576477,0.9993383288383484,1,1,1,,,1,same_correct,0.010757,0.126333,0.137090,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
41,临时有急事没法按正常流程提前请假，但我已经及时联系了领导，之后还需要补什么手续？,高难度语义,员工休假管理制度.docx,11,,3,3,14,员工考勤管理制度.docx,2,0.7089927792549133,11,员工休假管理制度.docx,0,0.7165538668632507,0.7414417862892151,1,1,3,,,0,improved,0.011386,0.133521,0.144908,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
42,休息时间比较长时，审批人会不会和普通请假不一样？,高难度语义,员工休假管理制度.docx,11,,3,3,11,员工休假管理制度.docx,1,0.7919842004776001,11,员工休假管理制度.docx,1,0.7919842004776001,0.36881497502326965,1,1,1,,,1,same_correct,0.010471,0.126502,0.136972,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
43,考勤出现异常不是因为请假，而是单纯忘了操作打卡，我应该走什么补救流程？,高难度语义,员工考勤管理制度.docx,14,,3,3,14,员工考勤管理制度.docx,2,0.5033683180809021,14,员工考勤管理制度.docx,1,0.5878267288208008,0.9746460318565369,1,1,3,,,1,same_correct,0.010433,0.132040,0.142473,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
44,我发现公司统计的上个月出勤情况和实际不一致，这件事有没有处理期限？,高难度语义,员工考勤管理制度.docx,14,,3,3,14,员工考勤管理制度.docx,2,0.6461476683616638,14,员工考勤管理制度.docx,2,0.6461476683616638,0.9417096972465515,1,1,2,,,1,same_correct,0.010483,0.117556,0.128039,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
45,出差花的钱不是只拿发票就能报，我还应该准备哪些能证明这笔消费的资料？,高难度语义,差旅及费用报销制度.docx,7,,3,3,7,差旅及费用报销制度.docx,0,0.7139298915863037,7,差旅及费用报销制度.docx,1,0.7792164087295532,0.42952290177345276,1,1,2,,,1,same_correct,0.011019,0.127370,0.138389,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
46,出差时为了业务临时想提高交通标准，怎样做才能避免这部分费用最后由自己承担？,高难度语义,差旅及费用报销制度.docx,7,,3,3,7,差旅及费用报销制度.docx,0,0.6323423981666565,7,差旅及费用报销制度.docx,1,0.7525785565376282,0.449757844209671,1,1,2,,,1,same_correct,0.010656,0.127751,0.138407,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
47,一个售后故障靠客服常规排查解决不了，怎样把问题完整地交接给技术人员？,高难度语义,产品售后服务规范.docx,12,,3,3,12,产品售后服务规范.docx,1,0.4703102707862854,12,产品售后服务规范.docx,1,0.4703102707862854,0.992932915687561,1,1,2,,,1,same_correct,0.010502,0.127473,0.137975,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
48,客户的问题反复处理仍然没有结果，这时候客服是否还应该继续按原来的方式处理？,高难度语义,产品售后服务规范.docx,12,,3,3,12,产品售后服务规范.docx,1,0.5899224877357483,12,产品售后服务规范.docx,1,0.5899224877357483,0.940798819065094,1,1,2,,,1,same_correct,0.011432,0.124512,0.135945,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
49,如果怀疑电脑中了病毒，继续操作可能扩大风险，这时员工第一步应该做什么并向谁反馈？,高难度语义,信息安全管理规范.docx,13,,3,3,12,产品售后服务规范.docx,1,0.8168970942497253,,,,,,0,0,0,,,0,same_wrong,0.009575,0.132775,0.142351,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
50,准备把带有客户信息的资料发到公司外部时，不能只看文件内容，还需要先核实什么？,高难度语义,信息安全管理规范.docx,13,,3,3,13,信息安全管理规范.docx,1,0.7473331689834595,13,信息安全管理规范.docx,1,0.7473331689834595,0.9414370656013489,1,1,2,,,1,same_correct,0.011515,0.136578,0.148093,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
51,公司通常每个月几号发工资？,negative,,,no_relevant_document,3,3,14,员工考勤管理制度.docx,1,0.8737080693244934,,,,,,,,0,1,0,1,same_correct,0.009638,0.108209,0.117847,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
52,新员工的试用期一般是多久，转正需要办什么手续？,negative,,,no_relevant_document,3,3,14,员工考勤管理制度.docx,2,0.811321496963501,,,,,,,,0,1,0,1,same_correct,0.008767,0.115156,0.123923,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
53,公司的年终奖按什么标准计算和发放？,negative,,,no_relevant_document,3,3,7,差旅及费用报销制度.docx,1,1.0659897327423096,,,,,,,,0,1,0,1,same_correct,0.009503,0.132008,0.141512,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
54,工作日晚上加班的加班费是怎么计算的？,negative,,,no_relevant_document,3,3,14,员工考勤管理制度.docx,0,0.8586417436599731,,,,,,,,0,1,0,1,same_correct,0.009766,0.121276,0.131042,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
55,员工每个工作日的餐补标准是多少？,negative,,,no_relevant_document,3,3,14,员工考勤管理制度.docx,0,0.8253496885299683,,,,,,,,0,1,0,1,same_correct,0.010309,0.111310,0.121619,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
56,公司对开车上下班的员工有停车费补贴吗？,negative,,,no_relevant_document,3,3,14,员工考勤管理制度.docx,1,0.9566477537155151,,,,,,,,0,1,0,1,same_correct,0.009265,0.108609,0.117874,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
57,部门如果想招聘新员工，需要走哪些申请和审批流程？,negative,,,no_relevant_document,3,3,13,信息安全管理规范.docx,2,0.8255494832992554,,,,,,,,0,1,0,1,same_correct,0.010522,0.122617,0.133139,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
58,员工申请职级晋升需要满足哪些条件？,negative,,,no_relevant_document,3,3,11,员工休假管理制度.docx,0,0.803523600101471,,,,,,,,0,1,0,1,same_correct,0.010010,0.126235,0.136245,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
59,新入职员工怎么领取电脑、文具等办公用品？,negative,,,no_relevant_document,3,3,13,信息安全管理规范.docx,2,0.835694432258606,,,,,,,,0,1,0,1,same_correct,0.009833,0.127410,0.137243,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
60,公司的绩效考核是按月度还是季度进行，结果分几个等级？,negative,,,no_relevant_document,3,3,14,员工考勤管理制度.docx,2,0.8756376504898071,,,,,,,,0,1,0,1,same_correct,0.011672,0.116003,0.127675,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
1,员工请假需要提前多久申请年假？,直接问法,员工休假管理制度.docx,11,,5,5,11,员工休假管理制度.docx,0,0.4174606204032898,11,员工休假管理制度.docx,0,0.4174606204032898,0.9802749752998352,1,1,4,,,1,same_correct,0.010053,0.194665,0.204718,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
2,病假超过一天需要提供什么材料？,直接问法,员工休假管理制度.docx,11,,5,5,11,员工休假管理制度.docx,1,0.5901859998703003,11,员工休假管理制度.docx,1,0.5901859998703003,0.9945701956748962,1,1,2,,,1,same_correct,0.010770,0.204089,0.214858,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
3,忘记打卡后最晚多久要申请补卡？,直接问法,员工考勤管理制度.docx,14,,5,5,14,员工考勤管理制度.docx,1,0.6294233798980713,14,员工考勤管理制度.docx,1,0.6294233798980713,0.9917912483215332,1,1,2,,,1,same_correct,0.010818,0.194998,0.205816,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
4,出差回来以后多久内要提交报销？,直接问法,差旅及费用报销制度.docx,7,,5,5,7,差旅及费用报销制度.docx,0,0.5694314241409302,7,差旅及费用报销制度.docx,1,0.5964694023132324,0.9885920882225037,1,1,4,,,1,same_correct,0.009313,0.190023,0.199337,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
5,公司登录密码至少需要多少位？,直接问法,信息安全管理规范.docx,13,,5,5,13,信息安全管理规范.docx,0,0.6225423216819763,13,信息安全管理规范.docx,0,0.6225423216819763,0.8097504377365112,1,1,1,,,1,same_correct,0.009557,0.186568,0.196126,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
6,我想下周一休年假，最迟什么时候要提交申请？,改写问法,员工休假管理制度.docx,11,,5,5,11,员工休假管理制度.docx,0,0.7699342966079712,11,员工休假管理制度.docx,0,0.7699342966079712,0.7778137922286987,1,1,1,,,1,same_correct,0.009644,0.211911,0.221554,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
7,这个月已经迟到三次了，公司会怎么处理？,改写问法,员工考勤管理制度.docx,14,,5,5,14,员工考勤管理制度.docx,1,0.7368632555007935,14,员工考勤管理制度.docx,1,0.7368632555007935,0.9496288299560547,1,1,1,,,1,same_correct,0.010741,0.194042,0.204783,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
8,去上海出差，酒店一晚上最多能报多少？,改写问法,差旅及费用报销制度.docx,7,,5,5,7,差旅及费用报销制度.docx,1,0.6903824210166931,7,差旅及费用报销制度.docx,1,0.6903824210166931,0.8683858513832092,1,1,1,,,1,same_correct,0.009716,0.191739,0.201455,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
9,客户的产品问题处理两次还是没解决，下一步怎么办？,改写问法,产品售后服务规范.docx,12,,5,5,12,产品售后服务规范.docx,1,0.4931122660636902,12,产品售后服务规范.docx,1,0.4931122660636902,0.9935444593429565,1,1,2,,,1,same_correct,0.010433,0.186736,0.197169,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
10,发现自己的公司账号好像被别人登录了，该怎么处理？,改写问法,信息安全管理规范.docx,13,,5,5,13,信息安全管理规范.docx,2,0.6810369491577148,13,信息安全管理规范.docx,1,0.7416949272155762,0.9104697704315186,1,1,3,,,1,same_correct,0.010047,0.187794,0.197841,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
