question_id,question,question_type,expected_document_id,expected_filename,top1_document_id,top1_filename,top1_chunk_index,top1_distance,top2_document_id,top2_filename,top2_chunk_index,top2_distance,top3_document_id,top3_filename,top3_chunk_index,top3_distance,top1_hit,top3_hit,result_count,status,error_type,embedding_model,vector_database,top_k,distance_threshold,evaluated_at
23,因为工作需要想坐更高等级的交通工具，应该提前经过谁同意？,改写问法,7,差旅及费用报销制度.docx,,,,,,,,,,,,,0,0,0,no_result,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
24,客户申请退换货时，客服需要检查商品哪些方面？,改写问法,12,产品售后服务规范.docx,12,产品售后服务规范.docx,0,0.6152297258377075,12,产品售后服务规范.docx,1,0.7065657377243042,,,,,1,1,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
25,离开工位时，公司电脑应该怎么处理？,改写问法,13,信息安全管理规范.docx,13,信息安全管理规范.docx,2,0.6584979891777039,13,信息安全管理规范.docx,0,0.7927199006080627,,,,,1,1,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
26,我想一次休四天年假，除了提前申请之外，工作交接方面还要做什么？,口语长问法,11,员工休假管理制度.docx,11,员工休假管理制度.docx,0,0.6719337701797485,14,员工考勤管理制度.docx,2,0.7940343618392944,11,员工休假管理制度.docx,1,0.7971490621566772,1,1,3,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
27,我这个月忘记打卡好几次了，补卡有没有次数限制？,口语长问法,14,员工考勤管理制度.docx,14,员工考勤管理制度.docx,1,0.6331474184989929,,,,,,,,,1,1,1,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
28,我去外地出差还没走审批流程，回来以后这些费用公司还能正常给我报吗？,口语长问法,7,差旅及费用报销制度.docx,7,差旅及费用报销制度.docx,0,0.6433004140853882,7,差旅及费用报销制度.docx,1,0.6568377614021301,,,,,1,1,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
29,客户刚来问售后，我是不是直接处理问题就行，还是要先确认一些客户和产品信息？,口语长问法,12,产品售后服务规范.docx,12,产品售后服务规范.docx,0,0.5432549118995667,12,产品售后服务规范.docx,1,0.5463094711303711,,,,,1,1,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
30,我手上有一份客户资料，想图方便传到自己的个人网盘里，可以这样做吗？,口语长问法,13,信息安全管理规范.docx,13,信息安全管理规范.docx,1,0.7763346433639526,,,,,,,,,1,1,1,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
31,员工没办请假手续就没来上班，这种情况应该按照休假制度还是考勤制度处理？,易混淆问法,11,员工休假管理制度.docx,14,员工考勤管理制度.docx,2,0.47922706604003906,11,员工休假管理制度.docx,0,0.5458054542541504,11,员工休假管理制度.docx,1,0.653309166431427,0,1,3,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
32,已经批准的休假和公司的考勤记录之间需要怎么处理？,易混淆问法,11,员工休假管理制度.docx,14,员工考勤管理制度.docx,2,0.5554816722869873,11,员工休假管理制度.docx,1,0.5966154932975769,11,员工休假管理制度.docx,0,0.6641899347305298,0,1,3,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
33,公共交通大面积延误导致迟到，当天应该做什么？,易混淆问法,14,员工考勤管理制度.docx,14,员工考勤管理制度.docx,1,0.7294214963912964,,,,,,,,,1,1,1,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
34,连续一整天没来公司，而且没有办理请假手续，会如何认定？,易混淆问法,14,员工考勤管理制度.docx,14,员工考勤管理制度.docx,2,0.6427825093269348,,,,,,,,,1,1,1,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
35,一线城市酒店住了600元一晚，但事先没有审批，超出的部分由谁承担？,易混淆问法,7,差旅及费用报销制度.docx,7,差旅及费用报销制度.docx,1,0.5905052423477173,,,,,,,,,1,1,1,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
36,报销申请中，业务真实性和票据金额分别由谁审核？,易混淆问法,7,差旅及费用报销制度.docx,,,,,,,,,,,,,0,0,0,no_result,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
37,客户的问题什么时候不能继续按普通售后流程处理，而要升级给负责人？,易混淆问法,12,产品售后服务规范.docx,12,产品售后服务规范.docx,1,0.5959175825119019,12,产品售后服务规范.docx,0,0.6884448528289795,,,,,1,1,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
38,售后问题处理完成以后，为什么还需要留下处理记录，具体要记录哪些内容？,易混淆问法,12,产品售后服务规范.docx,12,产品售后服务规范.docx,1,0.6200547814369202,12,产品售后服务规范.docx,0,0.7526532411575317,,,,,1,1,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
39,公司电脑能不能插一个来路不明的U盘？如果确实需要使用应该先做什么？,易混淆问法,13,信息安全管理规范.docx,13,信息安全管理规范.docx,1,0.7895042896270752,,,,,,,,,1,1,1,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
40,员工离职时能不能自己留一份以前工作中使用过的公司敏感资料？,易混淆问法,13,信息安全管理规范.docx,13,信息安全管理规范.docx,2,0.4609420895576477,,,,,,,,,1,1,1,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
41,临时有急事没法按正常流程提前请假，但我已经及时联系了领导，之后还需要补什么手续？,高难度语义,11,员工休假管理制度.docx,14,员工考勤管理制度.docx,2,0.7089927792549133,11,员工休假管理制度.docx,0,0.7165538668632507,14,员工考勤管理制度.docx,1,0.7287505269050598,0,1,3,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
42,休息时间比较长时，审批人会不会和普通请假不一样？,高难度语义,11,员工休假管理制度.docx,11,员工休假管理制度.docx,1,0.7919842004776001,,,,,,,,,1,1,1,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
43,考勤出现异常不是因为请假，而是单纯忘了操作打卡，我应该走什么补救流程？,高难度语义,14,员工考勤管理制度.docx,14,员工考勤管理制度.docx,2,0.5033683180809021,14,员工考勤管理制度.docx,1,0.5878267288208008,11,员工休假管理制度.docx,1,0.6963557600975037,1,1,3,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
44,我发现公司统计的上个月出勤情况和实际不一致，这件事有没有处理期限？,高难度语义,14,员工考勤管理制度.docx,14,员工考勤管理制度.docx,2,0.6461476683616638,14,员工考勤管理制度.docx,1,0.7631254196166992,,,,,1,1,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
45,出差花的钱不是只拿发票就能报，我还应该准备哪些能证明这笔消费的资料？,高难度语义,7,差旅及费用报销制度.docx,7,差旅及费用报销制度.docx,0,0.7139298915863037,7,差旅及费用报销制度.docx,1,0.7792164087295532,,,,,1,1,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
46,出差时为了业务临时想提高交通标准，怎样做才能避免这部分费用最后由自己承担？,高难度语义,7,差旅及费用报销制度.docx,7,差旅及费用报销制度.docx,0,0.6323423981666565,7,差旅及费用报销制度.docx,1,0.7525785565376282,,,,,1,1,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
47,一个售后故障靠客服常规排查解决不了，怎样把问题完整地交接给技术人员？,高难度语义,12,产品售后服务规范.docx,12,产品售后服务规范.docx,1,0.4703102707862854,12,产品售后服务规范.docx,0,0.6559629440307617,,,,,1,1,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
48,客户的问题反复处理仍然没有结果，这时候客服是否还应该继续按原来的方式处理？,高难度语义,12,产品售后服务规范.docx,12,产品售后服务规范.docx,1,0.5899224877357483,12,产品售后服务规范.docx,0,0.7086076140403748,,,,,1,1,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
49,如果怀疑电脑中了病毒，继续操作可能扩大风险，这时员工第一步应该做什么并向谁反馈？,高难度语义,13,信息安全管理规范.docx,,,,,,,,,,,,,0,0,0,no_result,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
50,准备把带有客户信息的资料发到公司外部时，不能只看文件内容，还需要先核实什么？,高难度语义,13,信息安全管理规范.docx,13,信息安全管理规范.docx,1,0.7473331689834595,13,信息安全管理规范.docx,2,0.7645346522331238,,,,,1,1,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
