question_id,question,question_type,expected_filename,expected_document_id,expected_result,baseline_top1_document_id,baseline_top1_filename,baseline_top1_chunk_index,baseline_top1_distance,baseline_top1_hit,baseline_top3_hit,baseline_result_count,baseline_correct_reject,baseline_false_positive,rerank_top1_document_id,rerank_top1_filename,rerank_top1_chunk_index,rerank_top1_distance,rerank_top1_score,rerank_top1_hit,rerank_top3_hit,rerank_result_count,rerank_correct_reject,rerank_false_positive,status,retrieval_time_seconds,baseline_postprocess_time_seconds,baseline_total_time_seconds,rerank_time_seconds,rerank_total_time_seconds,rerank_model,embedding_model,top_k,distance_threshold,evaluated_at
24,客户申请退换货时，客服需要检查商品哪些方面？,改写问法,产品售后服务规范.docx,12,,12,产品售后服务规范.docx,0,0.6152297258377075,1,1,2,,,12,产品售后服务规范.docx,0,0.6152297258377075,0.87157142162323,1,1,2,,,same_correct,0.011387,0.000002,0.011389,0.125303,0.136690,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
25,离开工位时，公司电脑应该怎么处理？,改写问法,信息安全管理规范.docx,13,,13,信息安全管理规范.docx,2,0.6584979891777039,1,1,2,,,13,信息安全管理规范.docx,0,0.7927199006080627,0.9141541719436646,1,1,2,,,same_correct,0.011328,0.000003,0.011332,0.121113,0.132441,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
26,我想一次休四天年假，除了提前申请之外，工作交接方面还要做什么？,口语长问法,员工休假管理制度.docx,11,,11,员工休假管理制度.docx,0,0.6719337701797485,1,1,3,,,11,员工休假管理制度.docx,0,0.6719337701797485,0.7426171898841858,1,1,3,,,same_correct,0.010949,0.000004,0.010953,0.134520,0.145469,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
27,我这个月忘记打卡好几次了，补卡有没有次数限制？,口语长问法,员工考勤管理制度.docx,14,,14,员工考勤管理制度.docx,1,0.6331474184989929,1,1,1,,,14,员工考勤管理制度.docx,1,0.6331474184989929,0.994146466255188,1,1,1,,,same_correct,0.011068,0.000003,0.011071,0.113086,0.124154,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
28,我去外地出差还没走审批流程，回来以后这些费用公司还能正常给我报吗？,口语长问法,差旅及费用报销制度.docx,7,,7,差旅及费用报销制度.docx,0,0.6433004140853882,1,1,2,,,7,差旅及费用报销制度.docx,1,0.6568377614021301,0.6943984031677246,1,1,2,,,same_correct,0.011605,0.000002,0.011607,0.122616,0.134221,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
29,客户刚来问售后，我是不是直接处理问题就行，还是要先确认一些客户和产品信息？,口语长问法,产品售后服务规范.docx,12,,12,产品售后服务规范.docx,0,0.5432549118995667,1,1,2,,,12,产品售后服务规范.docx,1,0.5463094711303711,0.821902871131897,1,1,2,,,same_correct,0.011663,0.000004,0.011667,0.126186,0.137849,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
30,我手上有一份客户资料，想图方便传到自己的个人网盘里，可以这样做吗？,口语长问法,信息安全管理规范.docx,13,,13,信息安全管理规范.docx,1,0.7763346433639526,1,1,1,,,13,信息安全管理规范.docx,1,0.7763346433639526,0.8565481901168823,1,1,1,,,same_correct,0.010635,0.000003,0.010638,0.128506,0.139142,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
31,员工没办请假手续就没来上班，这种情况应该按照休假制度还是考勤制度处理？,易混淆问法,员工休假管理制度.docx,11,,14,员工考勤管理制度.docx,2,0.47922706604003906,0,1,3,,,14,员工考勤管理制度.docx,2,0.47922706604003906,0.995354413986206,0,1,3,,,ambiguous,0.011472,0.000003,0.011475,0.135397,0.146869,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
32,已经批准的休假和公司的考勤记录之间需要怎么处理？,易混淆问法,员工休假管理制度.docx,11,,14,员工考勤管理制度.docx,2,0.5554816722869873,0,1,3,,,11,员工休假管理制度.docx,1,0.5966154932975769,0.8761609792709351,1,1,3,,,improved,0.010137,0.000003,0.010140,0.131383,0.141520,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
33,公共交通大面积延误导致迟到，当天应该做什么？,易混淆问法,员工考勤管理制度.docx,14,,14,员工考勤管理制度.docx,1,0.7294214963912964,1,1,1,,,14,员工考勤管理制度.docx,1,0.7294214963912964,0.9663113951683044,1,1,1,,,same_correct,0.012333,0.000004,0.012337,0.119979,0.132312,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
34,连续一整天没来公司，而且没有办理请假手续，会如何认定？,易混淆问法,员工考勤管理制度.docx,14,,14,员工考勤管理制度.docx,2,0.6427825093269348,1,1,1,,,14,员工考勤管理制度.docx,2,0.6427825093269348,0.9916856288909912,1,1,1,,,same_correct,0.011115,0.000002,0.011118,0.132654,0.143770,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
35,一线城市酒店住了600元一晚，但事先没有审批，超出的部分由谁承担？,易混淆问法,差旅及费用报销制度.docx,7,,7,差旅及费用报销制度.docx,1,0.5905052423477173,1,1,1,,,7,差旅及费用报销制度.docx,1,0.5905052423477173,0.99765944480896,1,1,1,,,same_correct,0.011314,0.000003,0.011316,0.123753,0.135066,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
36,报销申请中，业务真实性和票据金额分别由谁审核？,易混淆问法,差旅及费用报销制度.docx,7,,,,,,0,0,0,,,,,,,,0,0,0,,,same_wrong,0.011534,0.000002,0.011536,0.121298,0.132833,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
37,客户的问题什么时候不能继续按普通售后流程处理，而要升级给负责人？,易混淆问法,产品售后服务规范.docx,12,,12,产品售后服务规范.docx,1,0.5959175825119019,1,1,2,,,12,产品售后服务规范.docx,1,0.5959175825119019,0.9876032471656799,1,1,2,,,same_correct,0.011192,0.000001,0.011193,0.122622,0.133814,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
38,售后问题处理完成以后，为什么还需要留下处理记录，具体要记录哪些内容？,易混淆问法,产品售后服务规范.docx,12,,12,产品售后服务规范.docx,1,0.6200547814369202,1,1,2,,,12,产品售后服务规范.docx,1,0.6200547814369202,0.9478397965431213,1,1,2,,,same_correct,0.011632,0.000003,0.011635,0.121294,0.132926,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
39,公司电脑能不能插一个来路不明的U盘？如果确实需要使用应该先做什么？,易混淆问法,信息安全管理规范.docx,13,,13,信息安全管理规范.docx,1,0.7895042896270752,1,1,1,,,13,信息安全管理规范.docx,1,0.7895042896270752,0.9857950210571289,1,1,1,,,same_correct,0.011751,0.000002,0.011754,0.130240,0.141991,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
40,员工离职时能不能自己留一份以前工作中使用过的公司敏感资料？,易混淆问法,信息安全管理规范.docx,13,,13,信息安全管理规范.docx,2,0.4609420895576477,1,1,1,,,13,信息安全管理规范.docx,2,0.4609420895576477,0.9993383288383484,1,1,1,,,same_correct,0.011783,0.000002,0.011785,0.125916,0.137699,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
41,临时有急事没法按正常流程提前请假，但我已经及时联系了领导，之后还需要补什么手续？,高难度语义,员工休假管理制度.docx,11,,14,员工考勤管理制度.docx,2,0.7089927792549133,0,1,3,,,11,员工休假管理制度.docx,0,0.7165538668632507,0.7414417862892151,1,1,3,,,improved,0.011681,0.000002,0.011683,0.141693,0.153374,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
42,休息时间比较长时，审批人会不会和普通请假不一样？,高难度语义,员工休假管理制度.docx,11,,11,员工休假管理制度.docx,1,0.7919842004776001,1,1,1,,,11,员工休假管理制度.docx,1,0.7919842004776001,0.36881497502326965,1,1,1,,,same_correct,0.011344,0.000002,0.011347,0.133522,0.144866,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
43,考勤出现异常不是因为请假，而是单纯忘了操作打卡，我应该走什么补救流程？,高难度语义,员工考勤管理制度.docx,14,,14,员工考勤管理制度.docx,2,0.5033683180809021,1,1,3,,,14,员工考勤管理制度.docx,1,0.5878267288208008,0.9746460318565369,1,1,3,,,same_correct,0.011518,0.000003,0.011521,0.128638,0.140156,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
44,我发现公司统计的上个月出勤情况和实际不一致，这件事有没有处理期限？,高难度语义,员工考勤管理制度.docx,14,,14,员工考勤管理制度.docx,2,0.6461476683616638,1,1,2,,,14,员工考勤管理制度.docx,2,0.6461476683616638,0.9417096972465515,1,1,2,,,same_correct,0.011406,0.000002,0.011408,0.114764,0.126170,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
45,出差花的钱不是只拿发票就能报，我还应该准备哪些能证明这笔消费的资料？,高难度语义,差旅及费用报销制度.docx,7,,7,差旅及费用报销制度.docx,0,0.7139298915863037,1,1,2,,,7,差旅及费用报销制度.docx,1,0.7792164087295532,0.42952290177345276,1,1,2,,,same_correct,0.011652,0.000002,0.011655,0.129977,0.141629,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
46,出差时为了业务临时想提高交通标准，怎样做才能避免这部分费用最后由自己承担？,高难度语义,差旅及费用报销制度.docx,7,,7,差旅及费用报销制度.docx,0,0.6323423981666565,1,1,2,,,7,差旅及费用报销制度.docx,1,0.7525785565376282,0.449757844209671,1,1,2,,,same_correct,0.011554,0.000002,0.011556,0.124994,0.136548,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
47,一个售后故障靠客服常规排查解决不了，怎样把问题完整地交接给技术人员？,高难度语义,产品售后服务规范.docx,12,,12,产品售后服务规范.docx,1,0.4703102707862854,1,1,2,,,12,产品售后服务规范.docx,1,0.4703102707862854,0.992932915687561,1,1,2,,,same_correct,0.011939,0.000002,0.011942,0.126256,0.138195,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
48,客户的问题反复处理仍然没有结果，这时候客服是否还应该继续按原来的方式处理？,高难度语义,产品售后服务规范.docx,12,,12,产品售后服务规范.docx,1,0.5899224877357483,1,1,2,,,12,产品售后服务规范.docx,1,0.5899224877357483,0.940798819065094,1,1,2,,,same_correct,0.011478,0.000003,0.011481,0.123891,0.135369,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
49,如果怀疑电脑中了病毒，继续操作可能扩大风险，这时员工第一步应该做什么并向谁反馈？,高难度语义,信息安全管理规范.docx,13,,,,,,0,0,0,,,,,,,,0,0,0,,,same_wrong,0.013224,0.000002,0.013226,0.131110,0.144334,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
50,准备把带有客户信息的资料发到公司外部时，不能只看文件内容，还需要先核实什么？,高难度语义,信息安全管理规范.docx,13,,13,信息安全管理规范.docx,1,0.7473331689834595,1,1,2,,,13,信息安全管理规范.docx,1,0.7473331689834595,0.9414370656013489,1,1,2,,,same_correct,0.011319,0.000001,0.011321,0.131974,0.143293,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
51,公司通常每个月几号发工资？,negative,,,no_relevant_document,,,,,,,0,1,0,,,,,,,,0,1,0,same_correct,0.009722,0.000003,0.009724,0.107555,0.117277,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
52,新员工的试用期一般是多久，转正需要办什么手续？,negative,,,no_relevant_document,,,,,,,0,1,0,,,,,,,,0,1,0,same_correct,0.010795,0.000002,0.010796,0.113812,0.124607,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
53,公司的年终奖按什么标准计算和发放？,negative,,,no_relevant_document,,,,,,,0,1,0,,,,,,,,0,1,0,same_correct,0.010840,0.000002,0.010843,0.129657,0.140497,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
54,工作日晚上加班的加班费是怎么计算的？,negative,,,no_relevant_document,,,,,,,0,1,0,,,,,,,,0,1,0,same_correct,0.010560,0.000002,0.010562,0.119009,0.129569,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
55,员工每个工作日的餐补标准是多少？,negative,,,no_relevant_document,,,,,,,0,1,0,,,,,,,,0,1,0,same_correct,0.010735,0.000001,0.010737,0.112196,0.122932,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
56,公司对开车上下班的员工有停车费补贴吗？,negative,,,no_relevant_document,,,,,,,0,1,0,,,,,,,,0,1,0,same_correct,0.010938,0.000002,0.010940,0.113038,0.123976,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
57,部门如果想招聘新员工，需要走哪些申请和审批流程？,negative,,,no_relevant_document,,,,,,,0,1,0,,,,,,,,0,1,0,same_correct,0.011793,0.000002,0.011796,0.122321,0.134114,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
58,员工申请职级晋升需要满足哪些条件？,negative,,,no_relevant_document,,,,,,,0,1,0,,,,,,,,0,1,0,same_correct,0.011317,0.000002,0.011319,0.129260,0.140578,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
59,新入职员工怎么领取电脑、文具等办公用品？,negative,,,no_relevant_document,,,,,,,0,1,0,,,,,,,,0,1,0,same_correct,0.011383,0.000002,0.011384,0.124679,0.136061,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
60,公司的绩效考核是按月度还是季度进行，结果分几个等级？,negative,,,no_relevant_document,,,,,,,0,1,0,,,,,,,,0,1,0,same_correct,0.011790,0.000002,0.011792,0.113740,0.125530,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
